"record_id","year_of_birth","profession","q1_2022","q2_2022","q3_2022","q4_2022","q4_coded_2022","q4_improvements_2022","q1_2023","q2_2023","q3_2023","q4_2023","q4_coded_2023","q4_improvements_2023","q1_2024","q2_2024","q3_2024","q4_2024","q4_coded_2024","q4_improvements_2024","female","male","nonbinary","a_gender_not_listed","White","Black_or_African_American","Asian","American_Indian_or_Alaska_Native","Native_Hawaiian_or_Other_Pacific_Islander","Hispanic_or_Latino","zip_code","major_city","county","state"
"44","1996","Artist","1","91.6","-1","I think the program could be better if there was more opportunity for collaboration with others.","Improvement",NA,"1","90.2","1","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","2","38.7","0","I can't think of anything that could have been improved. The program was comprehensive and engaging.","Improvement",NA,"1","0","1","0","0","0","0","1","0","0","'98513","Olympia","Thurston County","WA"
"45","1998","Teacher","0","55.2","-1","I think the program could have been a lot better with more hands-on exercises and fewer lectures.","Improvement","Interactivity","1","13.9","1","It was a good program. A more interactive approach would help keep participants engaged longer.","Engagement","Interactivity","3","19.9","0","It was a truly great program. It was well-organized, informative, and really helped me build my skills.","Neutral",NA,"0","1","1","1","0","1","1","0","0","0","'77404","Bay City","Matagorda County","TX"
"46","1987","Teacher","1","53.4","-2","The program was fine, but I didn’t feel fully engaged. More group work could help with that.","Neutral","Interactivity","2","59","0","The program was fantastic. Some slight improvements in pacing and content depth would make it even better.","Positive","Content Depth","0","20.7","-1","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"0","0","0","1","1","1","0","0","0","1","'81425","Olathe","Montrose County","CO"
"47","1980","Artist","3","46.6","-1","It was OK, but I think the program could have been better with more engagement and fewer lectures.","Improvement","Interactivity","3","84.2","2","It was a good program. A more interactive approach would help keep participants engaged longer.","Engagement","Interactivity","2","49.7","-1","The program was wonderful. It really exceeded my expectations and left me feeling confident about the material.","Neutral",NA,"0","0","1","0","0","0","0","1","0","0","'16436","Spring Creek","Warren County","PA"
"48","1989","Teacher","2","27","-1","It was OK, but I feel like the pace was too fast. More time for each topic would be beneficial.","Positive","Pacing","0","55.1","-1","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","1","54.8","-1","The program was extremely effective. The content was delivered perfectly, and I feel much more confident in the material.","Neutral","Content Depth","0","0","1","0","0","1","0","1","1","0","'28512","Atlantic Beach","Carteret County","NC"
"49","1990","Teacher","3","30.9","1","I feel like the program was somewhat helpful, but it lacked some practical aspects that would have made it more useful.","Positive",NA,"1","92.6","2","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"0","23.3","2","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"0","0","1","1","0","1","0","0","0","0","'60146","Kirkland","DeKalb County","IL"
"50","1979","Engineer","2","98.7","0","I liked the program, but I think it could use more focus on problem-solving and hands-on exercises.","Neutral","Interactivity","2","51.5","-1","It was a great program. More personalized feedback would help me understand the material better.","Improvement","Feedback","3","31.2","-1","The program was wonderful. It really exceeded my expectations and left me feeling confident about the material.","Neutral",NA,"1","1","0","0","0","1","0","1","0","0","'68409","Murray","Cass County","NE"
"51","1976","Engineer","2","46.6","2","It was OK, but I think the program could have been better with more engagement and fewer lectures.","Improvement","Interactivity","0","59.7","1","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","0","92.2","2","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","1","1","1","1","0","0","0","0","0","'36728","Catherine","Wilcox County","AL"
"52","1978","Manager","1","55.4","1","It’s an OK program, but I think the content could be more tailored to different learning styles.","Neutral","Content Depth","0","21.7","1","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"1","21.9","-1","I had an excellent experience. The program was engaging, informative, and provided everything I needed to succeed.","Engagement",NA,"1","0","0","1","0","1","1","0","1","0","'23226","Richmond","Richmond city","VA"
"53","1990","Teacher","0","45.9","-1","It was good, but I think it could benefit from more group collaboration and problem-solving exercises.","Neutral",NA,"3","48.7","-2","The content was clear and useful, but a bit more focus on practical applications would have been nice.","Positive","Content Depth","3","51.4","1","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"1","0","0","1","0","0","0","1","0","0","'15240","Pittsburgh","Allegheny County","PA"
"54","1987","Engineer","1","87.9","1","I felt the program was OK, but there could have been more individual support.","Neutral",NA,"0","28.9","1","The program was excellent overall, but a few more hands-on activities would make it even more effective.","Neutral","Interactivity","3","74.4","2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"0","0","0","1","0","0","0","0","0","1","'55951","Le Roy","Mower County","MN"
"55","1980","Scientist","1","72","2","It’s OK, but I think it would be better if the pace was slowed down and more time was given to practice.","Improvement","Pacing","2","39.8","-1","The program was solid, though I would have liked more feedback during the process to gauge my progress.","Neutral","Feedback","1","7.3","0","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","1","0","0","0","1","0","0","1","0","0","'30330","Atlanta","Fulton County","GA"
"56","1993","Engineer","0","46.8","-1","It was decent, but it wasn’t very engaging. More interactive workshops would be appreciated.","Engagement","Interactivity","1","83.1","2","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","0","58","2","It was a wonderful experience. Everything from the material to the pace was on point, and I feel fully prepared.","Neutral",NA,"0","1","1","1","0","0","0","1","0","0","'19730","Odessa","New Castle County","DE"
"57","1987","Artist","1","70.4","1","The program was good, but it would be even better with more interactive sessions and group discussions.","Improvement","Interactivity","0","62.3","1","I really appreciated the program. It would be even better with more diverse perspectives included.","Improvement",NA,"1","35.8","-2","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"1","1","0","1","0","1","0","0","0","1","'77842","College Station","Brazos County","TX"
"58","1980","Engineer","2","13.2","2","I appreciate the effort, but the program felt too broad and could be more focused on specific needs.","Neutral",NA,"3","78.2","1","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","0","43.9","-1","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"0","1","1","0","0","1","1","0","0","0","'28555","Maysville","Onslow County","NC"
"59","1994","Scientist","2","94.6","1","I think the program was OK, but there were too many long lectures. More interactive activities would help.","Engagement","Interactivity","0","6.5","1","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","2","99.4","2","The program was wonderful. It really exceeded my expectations and left me feeling confident about the material.","Neutral",NA,"0","1","0","1","1","1","1","0","0","0","'55191","Saint Paul","Ramsey County","MN"
"60","1982","Scientist","1","16.3","-1","It’s OK, but I think it would be better if the pace was slowed down and more time was given to practice.","Improvement","Pacing","2","43.8","2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"2","48.9","2","The program was spot-on. I felt like all my learning needs were met, and I feel prepared to apply the material.","Neutral",NA,"0","0","1","1","0","0","0","0","0","1","'84322","Logan","Cache County","UT"
"61","1987","Engineer","0","75.2","1","The program was OK, but I think the content was a bit repetitive. A more diverse range of topics would be great.","Neutral","Content Depth","3","6","-2","It was a great experience overall. The content was engaging, but a bit more depth on certain topics could be helpful.","Positive","Content Depth","3","63.5","-2","I had an excellent experience. The program was engaging, informative, and provided everything I needed to succeed.","Engagement",NA,"0","1","0","1","0","0","1","0","0","0","'72765","Springdale","Washington County","AR"
"62","1998","Teacher","3","97.7","1","The program could be more effective with more focus on the participants' learning styles.","Neutral",NA,"3","63.1","1","The program was great, but I think a more structured timeline for each module would have been beneficial.","Positive","Pacing","0","97.3","-1","The program was fantastic. I feel it met all my learning needs and was incredibly informative.","Positive",NA,"0","1","0","0","1","0","1","0","0","0","'19144","Philadelphia","Philadelphia County","PA"
"63","1991","Engineer","0","64.4","0","I liked the program, but it could be better with more real-life examples and practical applications.","Improvement","Content Depth","0","13.1","-2","I liked the program overall, but it would be more beneficial if it included more diverse learning formats.","Positive",NA,"3","76.4","2","I feel like the program was perfect. It covered everything I needed, and the structure was flawless.","Neutral",NA,"1","0","0","1","0","0","0","1","0","1","'97054","Deer Island","Columbia County","OR"
"64","1983","Teacher","3","12","-2","It’s OK, but I feel like I needed more time to fully absorb the content.","Neutral","Content Depth","3","40.9","-2","It was a great experience overall. The content was engaging, but a bit more depth on certain topics could be helpful.","Positive","Content Depth","2","26.2","2","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","1","1","0","0","1","1","0","0","0","'71432","Georgetown","Grant Parish","LA"
"65","1980","Teacher","2","99.1","2","The program was OK, but I would have liked more practical demonstrations of the concepts.","Neutral",NA,"2","79.4","0","I feel like the program was very useful. More engagement in certain sections would help retain attention.","Positive","Interactivity","0","54.2","-2","The program was amazing! I learned so much and everything was very well-organized.","Positive",NA,"0","1","1","0","1","0","1","0","0","0","'71479","Tullos","La Salle Parish","LA"
"66","1991","Teacher","0","54.5","1","The program is OK, but I didn’t feel like I learned as much as I had hoped.","Positive",NA,"2","43.1","0","I found the program very beneficial. It was well-organized, though adding more real-world examples would be valuable.","Positive","Content Depth","3","86.7","-2","The program was great. I feel more confident in the material, and the organization was top-notch.","Neutral",NA,"1","0","1","0","0","1","0","0","0","0","'75661","Karnack","Harrison County","TX"
"67","1990","Manager","2","15.5","-1","I liked the program, but some areas need more in-depth coverage, especially on the more advanced topics.","Neutral","Content Depth","1","37.8","-1","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","1","33.1","0","It was an excellent program. The content was delivered perfectly, and everything was well-paced and engaging.","Engagement","Content Depth","0","0","0","1","0","0","1","0","0","1","'20615","Broomes Island","Calvert County","MD"
"68","1976","Manager","1","59.7","0","The program was fine, but I think it could have benefited from more focus on practical applications.","Neutral",NA,"3","24.9","0","The program was really good, but I think it could have been more tailored to individual needs.","Neutral",NA,"0","40.4","2","I found the program extremely helpful. It exceeded my expectations, and I feel confident in the material.","Positive",NA,"0","1","0","1","0","1","0","0","0","1","'61088","Winnebago","Winnebago County","IL"
"69","1991","Engineer","1","48.2","0","I didn't find the program all that helpful, but it wasn’t bad either. Some more detailed examples could have helped.","Positive","Content Depth","0","45.1","0","The program was solid, though I would have liked more feedback during the process to gauge my progress.","Neutral","Feedback","3","71.7","1","I couldn’t have asked for a better program. It was well-structured, and I feel more prepared after completing it.","Improvement",NA,"0","1","0","0","0","0","1","1","0","0","'65110","Jefferson City","Cole County","MO"
"70","1988","Engineer","0","3.3","1","The program could be more effective with more focus on the participants' learning styles.","Neutral",NA,"0","40.2","-1","I really liked the program, but I think it could be more interactive to engage participants even more.","Engagement","Interactivity","0","6.3","0","I loved the program! It was highly informative and organized, and I feel much more knowledgeable.","Neutral",NA,"0","0","1","1","0","0","0","0","1","0","'55409","Minneapolis","Hennepin County","MN"
