record_id,question,year,responses_numeric,responses_character
10,q1,2022,2,NA
10,q1,2023,1,NA
10,q1,2024,0,NA
10,q2,2022,54.1,NA
10,q2,2023,97.7,NA
10,q2,2024,96.8,NA
10,q3,2022,0,NA
10,q3,2023,-2,NA
10,q3,2024,-2,NA
11,q1,2022,1,NA
11,q1,2023,0,NA
11,q1,2024,2,NA
11,q2,2022,31.4,NA
11,q2,2023,34.4,NA
11,q2,2024,85.6,NA
11,q3,2022,-1,NA
11,q3,2023,0,NA
11,q3,2024,-2,NA
12,q1,2022,3,NA
12,q1,2023,3,NA
12,q1,2024,2,NA
12,q2,2022,97.1,NA
12,q2,2023,26.3,NA
12,q2,2024,3.1,NA
12,q3,2022,-2,NA
12,q3,2023,1,NA
12,q3,2024,-2,NA
13,q1,2022,2,NA
13,q1,2023,3,NA
13,q1,2024,3,NA
13,q2,2022,46.6,NA
13,q2,2023,17.7,NA
13,q2,2024,53.9,NA
13,q3,2022,2,NA
13,q3,2023,-2,NA
13,q3,2024,1,NA
14,q1,2022,3,NA
14,q1,2023,2,NA
14,q1,2024,1,NA
14,q2,2022,53.7,NA
14,q2,2023,80.3,NA
14,q2,2024,16.6,NA
14,q3,2022,0,NA
14,q3,2023,2,NA
14,q3,2024,-1,NA
15,q1,2022,1,NA
15,q1,2023,3,NA
15,q1,2024,1,NA
15,q2,2022,76.5,NA
15,q2,2023,88.9,NA
15,q2,2024,59.7,NA
15,q3,2022,-1,NA
15,q3,2023,-2,NA
15,q3,2024,1,NA
16,q1,2022,0,NA
16,q1,2023,1,NA
16,q1,2024,1,NA
16,q2,2022,57.8,NA
16,q2,2023,8,NA
16,q2,2024,45.6,NA
16,q3,2022,-2,NA
16,q3,2023,0,NA
16,q3,2024,-1,NA
17,q1,2022,1,NA
17,q1,2023,0,NA
17,q1,2024,3,NA
17,q2,2022,27.5,NA
17,q2,2023,53.7,NA
17,q2,2024,54.3,NA
17,q3,2022,0,NA
17,q3,2023,-2,NA
17,q3,2024,-1,NA
18,q1,2022,0,NA
18,q1,2023,0,NA
18,q1,2024,0,NA
18,q2,2022,68.7,NA
18,q2,2023,46.7,NA
18,q2,2024,98.3,NA
18,q3,2022,1,NA
18,q3,2023,0,NA
18,q3,2024,-1,NA
19,q1,2022,3,NA
19,q1,2023,1,NA
19,q1,2024,0,NA
19,q2,2022,5.8,NA
19,q2,2023,27.1,NA
19,q2,2024,3.6,NA
19,q3,2022,0,NA
19,q3,2023,1,NA
19,q3,2024,0,NA
20,q1,2022,0,NA
20,q1,2023,2,NA
20,q1,2024,1,NA
20,q2,2022,22.8,NA
20,q2,2023,57.8,NA
20,q2,2024,28.2,NA
20,q3,2022,2,NA
20,q3,2023,0,NA
20,q3,2024,2,NA
21,q1,2022,0,NA
21,q1,2023,0,NA
21,q1,2024,2,NA
21,q2,2022,68.7,NA
21,q2,2023,59.9,NA
21,q2,2024,85.3,NA
21,q3,2022,-1,NA
21,q3,2023,2,NA
21,q3,2024,1,NA
22,q1,2022,2,NA
22,q1,2023,3,NA
22,q1,2024,0,NA
22,q2,2022,77.3,NA
22,q2,2023,2.9,NA
22,q2,2024,44.9,NA
22,q3,2022,-1,NA
22,q3,2023,-2,NA
22,q3,2024,-2,NA
23,q1,2022,0,NA
23,q1,2023,2,NA
23,q1,2024,2,NA
23,q2,2022,75.6,NA
23,q2,2023,38.3,NA
23,q2,2024,92.9,NA
23,q3,2022,0,NA
23,q3,2023,1,NA
23,q3,2024,-2,NA
24,q1,2022,1,NA
24,q1,2023,1,NA
24,q1,2024,0,NA
24,q2,2022,9.8,NA
24,q2,2023,27,NA
24,q2,2024,69.6,NA
24,q3,2022,0,NA
24,q3,2023,2,NA
24,q3,2024,2,NA
25,q1,2022,1,NA
25,q1,2023,2,NA
25,q1,2024,1,NA
25,q2,2022,26.5,NA
25,q2,2023,51.2,NA
25,q2,2024,57.7,NA
25,q3,2022,1,NA
25,q3,2023,1,NA
25,q3,2024,-1,NA
26,q1,2022,0,NA
26,q1,2023,0,NA
26,q1,2024,1,NA
26,q2,2022,77,NA
26,q2,2023,85.7,NA
26,q2,2024,54.4,NA
26,q3,2022,1,NA
26,q3,2023,-1,NA
26,q3,2024,1,NA
27,q1,2022,3,NA
27,q1,2023,2,NA
27,q1,2024,0,NA
27,q2,2022,97.8,NA
27,q2,2023,58.9,NA
27,q2,2024,12.7,NA
27,q3,2022,2,NA
27,q3,2023,0,NA
27,q3,2024,-1,NA
28,q1,2022,1,NA
28,q1,2023,3,NA
28,q1,2024,2,NA
28,q2,2022,80.6,NA
28,q2,2023,19,NA
28,q2,2024,37.4,NA
28,q3,2022,-1,NA
28,q3,2023,2,NA
28,q3,2024,1,NA
29,q1,2022,3,NA
29,q1,2023,0,NA
29,q1,2024,1,NA
29,q2,2022,73.1,NA
29,q2,2023,98.2,NA
29,q2,2024,92.6,NA
29,q3,2022,-1,NA
29,q3,2023,0,NA
29,q3,2024,-1,NA
30,q1,2022,2,NA
30,q1,2023,3,NA
30,q1,2024,2,NA
30,q2,2022,47.4,NA
30,q2,2023,26.3,NA
30,q2,2024,89.4,NA
30,q3,2022,0,NA
30,q3,2023,-1,NA
30,q3,2024,2,NA
31,q1,2022,0,NA
31,q1,2023,3,NA
31,q1,2024,0,NA
31,q2,2022,25.5,NA
31,q2,2023,90.7,NA
31,q2,2024,46.2,NA
31,q3,2022,2,NA
31,q3,2023,2,NA
31,q3,2024,-2,NA
32,q1,2022,2,NA
32,q1,2023,3,NA
32,q1,2024,2,NA
32,q2,2022,68.3,NA
32,q2,2023,66,NA
32,q2,2024,43.7,NA
32,q3,2022,1,NA
32,q3,2023,1,NA
32,q3,2024,1,NA
33,q1,2022,3,NA
33,q1,2023,0,NA
33,q1,2024,2,NA
33,q2,2022,96.6,NA
33,q2,2023,70.4,NA
33,q2,2024,97.3,NA
33,q3,2022,-2,NA
33,q3,2023,1,NA
33,q3,2024,-1,NA
34,q1,2022,2,NA
34,q1,2023,3,NA
34,q1,2024,2,NA
34,q2,2022,24.3,NA
34,q2,2023,81.4,NA
34,q2,2024,68.6,NA
34,q3,2022,1,NA
34,q3,2023,-2,NA
34,q3,2024,2,NA
35,q1,2022,1,NA
35,q1,2023,1,NA
35,q1,2024,1,NA
35,q2,2022,42.8,NA
35,q2,2023,63,NA
35,q2,2024,8.1,NA
35,q3,2022,0,NA
35,q3,2023,-1,NA
35,q3,2024,0,NA
36,q1,2022,0,NA
36,q1,2023,1,NA
36,q1,2024,0,NA
36,q2,2022,48.4,NA
36,q2,2023,41.8,NA
36,q2,2024,95.1,NA
36,q3,2022,-1,NA
36,q3,2023,1,NA
36,q3,2024,-1,NA
37,q1,2022,2,NA
37,q1,2023,3,NA
37,q1,2024,1,NA
37,q2,2022,10.3,NA
37,q2,2023,58.1,NA
37,q2,2024,35.6,NA
37,q3,2022,-1,NA
37,q3,2023,2,NA
37,q3,2024,0,NA
38,q1,2022,0,NA
38,q1,2023,2,NA
38,q1,2024,3,NA
38,q2,2022,98.7,NA
38,q2,2023,69.8,NA
38,q2,2024,27.8,NA
38,q3,2022,2,NA
38,q3,2023,-2,NA
38,q3,2024,2,NA
39,q1,2022,0,NA
39,q1,2023,3,NA
39,q1,2024,1,NA
39,q2,2022,61,NA
39,q2,2023,48.4,NA
39,q2,2024,51,NA
39,q3,2022,2,NA
39,q3,2023,2,NA
39,q3,2024,1,NA
40,q1,2022,2,NA
40,q1,2023,1,NA
40,q1,2024,3,NA
40,q2,2022,67.5,NA
40,q2,2023,91.9,NA
40,q2,2024,71.7,NA
40,q3,2022,1,NA
40,q3,2023,-2,NA
40,q3,2024,-1,NA
41,q1,2022,2,NA
41,q1,2023,0,NA
41,q1,2024,3,NA
41,q2,2022,40.1,NA
41,q2,2023,14.8,NA
41,q2,2024,46.7,NA
41,q3,2022,2,NA
41,q3,2023,-1,NA
41,q3,2024,0,NA
42,q1,2022,1,NA
42,q1,2023,3,NA
42,q1,2024,0,NA
42,q2,2022,2.4,NA
42,q2,2023,22.6,NA
42,q2,2024,79.9,NA
42,q3,2022,-2,NA
42,q3,2023,2,NA
42,q3,2024,-2,NA
43,q1,2022,3,NA
43,q1,2023,3,NA
43,q1,2024,3,NA
43,q2,2022,28.5,NA
43,q2,2023,1.4,NA
43,q2,2024,62.1,NA
43,q3,2022,0,NA
43,q3,2023,-2,NA
43,q3,2024,0,NA
44,q1,2022,1,NA
44,q1,2023,1,NA
44,q1,2024,2,NA
44,q2,2022,91.6,NA
44,q2,2023,90.2,NA
44,q2,2024,38.7,NA
44,q3,2022,-1,NA
44,q3,2023,1,NA
44,q3,2024,0,NA
45,q1,2022,0,NA
45,q1,2023,1,NA
45,q1,2024,3,NA
45,q2,2022,55.2,NA
45,q2,2023,13.9,NA
45,q2,2024,19.9,NA
45,q3,2022,-1,NA
45,q3,2023,1,NA
45,q3,2024,0,NA
46,q1,2022,1,NA
46,q1,2023,2,NA
46,q1,2024,0,NA
46,q2,2022,53.4,NA
46,q2,2023,59,NA
46,q2,2024,20.7,NA
46,q3,2022,-2,NA
46,q3,2023,0,NA
46,q3,2024,-1,NA
47,q1,2022,3,NA
47,q1,2023,3,NA
47,q1,2024,2,NA
47,q2,2022,46.6,NA
47,q2,2023,84.2,NA
47,q2,2024,49.7,NA
47,q3,2022,-1,NA
47,q3,2023,2,NA
47,q3,2024,-1,NA
48,q1,2022,2,NA
48,q1,2023,0,NA
48,q1,2024,1,NA
48,q2,2022,27,NA
48,q2,2023,55.1,NA
48,q2,2024,54.8,NA
48,q3,2022,-1,NA
48,q3,2023,-1,NA
48,q3,2024,-1,NA
49,q1,2022,3,NA
49,q1,2023,1,NA
49,q1,2024,0,NA
49,q2,2022,30.9,NA
49,q2,2023,92.6,NA
49,q2,2024,23.3,NA
49,q3,2022,1,NA
49,q3,2023,2,NA
49,q3,2024,2,NA
50,q1,2022,2,NA
50,q1,2023,2,NA
50,q1,2024,3,NA
50,q2,2022,98.7,NA
50,q2,2023,51.5,NA
50,q2,2024,31.2,NA
50,q3,2022,0,NA
50,q3,2023,-1,NA
50,q3,2024,-1,NA
51,q1,2022,2,NA
51,q1,2023,0,NA
51,q1,2024,0,NA
51,q2,2022,46.6,NA
51,q2,2023,59.7,NA
51,q2,2024,92.2,NA
51,q3,2022,2,NA
51,q3,2023,1,NA
51,q3,2024,2,NA
52,q1,2022,1,NA
52,q1,2023,0,NA
52,q1,2024,1,NA
52,q2,2022,55.4,NA
52,q2,2023,21.7,NA
52,q2,2024,21.9,NA
52,q3,2022,1,NA
52,q3,2023,1,NA
52,q3,2024,-1,NA
53,q1,2022,0,NA
53,q1,2023,3,NA
53,q1,2024,3,NA
53,q2,2022,45.9,NA
53,q2,2023,48.7,NA
53,q2,2024,51.4,NA
53,q3,2022,-1,NA
53,q3,2023,-2,NA
53,q3,2024,1,NA
54,q1,2022,1,NA
54,q1,2023,0,NA
54,q1,2024,3,NA
54,q2,2022,87.9,NA
54,q2,2023,28.9,NA
54,q2,2024,74.4,NA
54,q3,2022,1,NA
54,q3,2023,1,NA
54,q3,2024,2,NA
55,q1,2022,1,NA
55,q1,2023,2,NA
55,q1,2024,1,NA
55,q2,2022,72,NA
55,q2,2023,39.8,NA
55,q2,2024,7.3,NA
55,q3,2022,2,NA
55,q3,2023,-1,NA
55,q3,2024,0,NA
56,q1,2022,0,NA
56,q1,2023,1,NA
56,q1,2024,0,NA
56,q2,2022,46.8,NA
56,q2,2023,83.1,NA
56,q2,2024,58,NA
56,q3,2022,-1,NA
56,q3,2023,2,NA
56,q3,2024,2,NA
57,q1,2022,1,NA
57,q1,2023,0,NA
57,q1,2024,1,NA
57,q2,2022,70.4,NA
57,q2,2023,62.3,NA
57,q2,2024,35.8,NA
57,q3,2022,1,NA
57,q3,2023,1,NA
57,q3,2024,-2,NA
58,q1,2022,2,NA
58,q1,2023,3,NA
58,q1,2024,0,NA
58,q2,2022,13.2,NA
58,q2,2023,78.2,NA
58,q2,2024,43.9,NA
58,q3,2022,2,NA
58,q3,2023,1,NA
58,q3,2024,-1,NA
59,q1,2022,2,NA
59,q1,2023,0,NA
59,q1,2024,2,NA
59,q2,2022,94.6,NA
59,q2,2023,6.5,NA
59,q2,2024,99.4,NA
59,q3,2022,1,NA
59,q3,2023,1,NA
59,q3,2024,2,NA
60,q1,2022,1,NA
60,q1,2023,2,NA
60,q1,2024,2,NA
60,q2,2022,16.3,NA
60,q2,2023,43.8,NA
60,q2,2024,48.9,NA
60,q3,2022,-1,NA
60,q3,2023,2,NA
60,q3,2024,2,NA
61,q1,2022,0,NA
61,q1,2023,3,NA
61,q1,2024,3,NA
61,q2,2022,75.2,NA
61,q2,2023,6,NA
61,q2,2024,63.5,NA
61,q3,2022,1,NA
61,q3,2023,-2,NA
61,q3,2024,-2,NA
62,q1,2022,3,NA
62,q1,2023,3,NA
62,q1,2024,0,NA
62,q2,2022,97.7,NA
62,q2,2023,63.1,NA
62,q2,2024,97.3,NA
62,q3,2022,1,NA
62,q3,2023,1,NA
62,q3,2024,-1,NA
63,q1,2022,0,NA
63,q1,2023,0,NA
63,q1,2024,3,NA
63,q2,2022,64.4,NA
63,q2,2023,13.1,NA
63,q2,2024,76.4,NA
63,q3,2022,0,NA
63,q3,2023,-2,NA
63,q3,2024,2,NA
64,q1,2022,3,NA
64,q1,2023,3,NA
64,q1,2024,2,NA
64,q2,2022,12,NA
64,q2,2023,40.9,NA
64,q2,2024,26.2,NA
64,q3,2022,-2,NA
64,q3,2023,-2,NA
64,q3,2024,2,NA
65,q1,2022,2,NA
65,q1,2023,2,NA
65,q1,2024,0,NA
65,q2,2022,99.1,NA
65,q2,2023,79.4,NA
65,q2,2024,54.2,NA
65,q3,2022,2,NA
65,q3,2023,0,NA
65,q3,2024,-2,NA
66,q1,2022,0,NA
66,q1,2023,2,NA
66,q1,2024,3,NA
66,q2,2022,54.5,NA
66,q2,2023,43.1,NA
66,q2,2024,86.7,NA
66,q3,2022,1,NA
66,q3,2023,0,NA
66,q3,2024,-2,NA
67,q1,2022,2,NA
67,q1,2023,1,NA
67,q1,2024,1,NA
67,q2,2022,15.5,NA
67,q2,2023,37.8,NA
67,q2,2024,33.1,NA
67,q3,2022,-1,NA
67,q3,2023,-1,NA
67,q3,2024,0,NA
68,q1,2022,1,NA
68,q1,2023,3,NA
68,q1,2024,0,NA
68,q2,2022,59.7,NA
68,q2,2023,24.9,NA
68,q2,2024,40.4,NA
68,q3,2022,0,NA
68,q3,2023,0,NA
68,q3,2024,2,NA
69,q1,2022,1,NA
69,q1,2023,0,NA
69,q1,2024,3,NA
69,q2,2022,48.2,NA
69,q2,2023,45.1,NA
69,q2,2024,71.7,NA
69,q3,2022,0,NA
69,q3,2023,0,NA
69,q3,2024,1,NA
70,q1,2022,0,NA
70,q1,2023,0,NA
70,q1,2024,0,NA
70,q2,2022,3.3,NA
70,q2,2023,40.2,NA
70,q2,2024,6.3,NA
70,q3,2022,1,NA
70,q3,2023,-1,NA
70,q3,2024,0,NA
71,q1,2022,2,NA
71,q1,2023,2,NA
71,q1,2024,0,NA
71,q2,2022,8.7,NA
71,q2,2023,95.4,NA
71,q2,2024,97.4,NA
71,q3,2022,-2,NA
71,q3,2023,-2,NA
71,q3,2024,1,NA
72,q1,2022,1,NA
72,q1,2023,2,NA
72,q1,2024,1,NA
72,q2,2022,93.5,NA
72,q2,2023,80.4,NA
72,q2,2024,9.7,NA
72,q3,2022,1,NA
72,q3,2023,0,NA
72,q3,2024,-2,NA
73,q1,2022,0,NA
73,q1,2023,0,NA
73,q1,2024,3,NA
73,q2,2022,57.1,NA
73,q2,2023,2.3,NA
73,q2,2024,65.5,NA
73,q3,2022,0,NA
73,q3,2023,-2,NA
73,q3,2024,0,NA
74,q1,2022,3,NA
74,q1,2023,3,NA
74,q1,2024,2,NA
74,q2,2022,55.6,NA
74,q2,2023,85.3,NA
74,q2,2024,75.1,NA
74,q3,2022,-2,NA
74,q3,2023,-2,NA
74,q3,2024,1,NA
75,q1,2022,1,NA
75,q1,2023,1,NA
75,q1,2024,0,NA
75,q2,2022,77.8,NA
75,q2,2023,35.7,NA
75,q2,2024,72,NA
75,q3,2022,-2,NA
75,q3,2023,-1,NA
75,q3,2024,0,NA
76,q1,2022,0,NA
76,q1,2023,2,NA
76,q1,2024,0,NA
76,q2,2022,1.1,NA
76,q2,2023,96.5,NA
76,q2,2024,71.2,NA
76,q3,2022,-1,NA
76,q3,2023,0,NA
76,q3,2024,0,NA
77,q1,2022,3,NA
77,q1,2023,2,NA
77,q1,2024,1,NA
77,q2,2022,29.8,NA
77,q2,2023,32.7,NA
77,q2,2024,54.8,NA
77,q3,2022,0,NA
77,q3,2023,1,NA
77,q3,2024,0,NA
78,q1,2022,2,NA
78,q1,2023,0,NA
78,q1,2024,0,NA
78,q2,2022,77.5,NA
78,q2,2023,17.9,NA
78,q2,2024,24.1,NA
78,q3,2022,2,NA
78,q3,2023,-1,NA
78,q3,2024,1,NA
79,q1,2022,3,NA
79,q1,2023,0,NA
79,q1,2024,3,NA
79,q2,2022,26.4,NA
79,q2,2023,36.5,NA
79,q2,2024,76.9,NA
79,q3,2022,1,NA
79,q3,2023,-2,NA
79,q3,2024,-1,NA
80,q1,2022,3,NA
80,q1,2023,0,NA
80,q1,2024,3,NA
80,q2,2022,45.4,NA
80,q2,2023,14.3,NA
80,q2,2024,66.1,NA
80,q3,2022,-2,NA
80,q3,2023,-1,NA
80,q3,2024,2,NA
81,q1,2022,0,NA
81,q1,2023,3,NA
81,q1,2024,1,NA
81,q2,2022,51.7,NA
81,q2,2023,1.2,NA
81,q2,2024,34.9,NA
81,q3,2022,1,NA
81,q3,2023,-1,NA
81,q3,2024,-2,NA
82,q1,2022,1,NA
82,q1,2023,0,NA
82,q1,2024,1,NA
82,q2,2022,7.8,NA
82,q2,2023,70.8,NA
82,q2,2024,15.7,NA
82,q3,2022,-1,NA
82,q3,2023,0,NA
82,q3,2024,-2,NA
83,q1,2022,1,NA
83,q1,2023,3,NA
83,q1,2024,1,NA
83,q2,2022,72.9,NA
83,q2,2023,82.1,NA
83,q2,2024,54.6,NA
83,q3,2022,2,NA
83,q3,2023,0,NA
83,q3,2024,-2,NA
84,q1,2022,1,NA
84,q1,2023,0,NA
84,q1,2024,2,NA
84,q2,2022,48.1,NA
84,q2,2023,98.6,NA
84,q2,2024,52.6,NA
84,q3,2022,1,NA
84,q3,2023,2,NA
84,q3,2024,2,NA
85,q1,2022,1,NA
85,q1,2023,1,NA
85,q1,2024,0,NA
85,q2,2022,63.1,NA
85,q2,2023,87,NA
85,q2,2024,3.8,NA
85,q3,2022,1,NA
85,q3,2023,0,NA
85,q3,2024,2,NA
86,q1,2022,0,NA
86,q1,2023,1,NA
86,q1,2024,0,NA
86,q2,2022,4.6,NA
86,q2,2023,20.9,NA
86,q2,2024,11.4,NA
86,q3,2022,-1,NA
86,q3,2023,-1,NA
86,q3,2024,-1,NA
87,q1,2022,2,NA
87,q1,2023,0,NA
87,q1,2024,3,NA
87,q2,2022,60.8,NA
87,q2,2023,82.8,NA
87,q2,2024,41.9,NA
87,q3,2022,-1,NA
87,q3,2023,2,NA
87,q3,2024,-1,NA
88,q1,2022,2,NA
88,q1,2023,2,NA
88,q1,2024,1,NA
88,q2,2022,12.7,NA
88,q2,2023,80,NA
88,q2,2024,2.3,NA
88,q3,2022,-2,NA
88,q3,2023,1,NA
88,q3,2024,1,NA
89,q1,2022,2,NA
89,q1,2023,3,NA
89,q1,2024,3,NA
89,q2,2022,98.2,NA
89,q2,2023,58.7,NA
89,q2,2024,76.1,NA
89,q3,2022,1,NA
89,q3,2023,2,NA
89,q3,2024,-2,NA
90,q1,2022,1,NA
90,q1,2023,3,NA
90,q1,2024,3,NA
90,q2,2022,70,NA
90,q2,2023,48.2,NA
90,q2,2024,14.3,NA
90,q3,2022,0,NA
90,q3,2023,0,NA
90,q3,2024,1,NA
91,q1,2022,1,NA
91,q1,2023,2,NA
91,q1,2024,2,NA
91,q2,2022,61.3,NA
91,q2,2023,29.2,NA
91,q2,2024,40.6,NA
91,q3,2022,0,NA
91,q3,2023,-1,NA
91,q3,2024,0,NA
92,q1,2022,0,NA
92,q1,2023,0,NA
92,q1,2024,1,NA
92,q2,2022,7.9,NA
92,q2,2023,2.4,NA
92,q2,2024,85.9,NA
92,q3,2022,0,NA
92,q3,2023,-1,NA
92,q3,2024,2,NA
93,q1,2022,3,NA
93,q1,2023,2,NA
93,q1,2024,1,NA
93,q2,2022,64.4,NA
93,q2,2023,41.9,NA
93,q2,2024,97.3,NA
93,q3,2022,-1,NA
93,q3,2023,2,NA
93,q3,2024,0,NA
94,q1,2022,1,NA
94,q1,2023,3,NA
94,q1,2024,2,NA
94,q2,2022,95.2,NA
94,q2,2023,36.3,NA
94,q2,2024,2.2,NA
94,q3,2022,0,NA
94,q3,2023,-2,NA
94,q3,2024,2,NA
95,q1,2022,2,NA
95,q1,2023,1,NA
95,q1,2024,1,NA
95,q2,2022,45.5,NA
95,q2,2023,88.9,NA
95,q2,2024,59.7,NA
95,q3,2022,-1,NA
95,q3,2023,-1,NA
95,q3,2024,2,NA
96,q1,2022,3,NA
96,q1,2023,0,NA
96,q1,2024,1,NA
96,q2,2022,41.6,NA
96,q2,2023,29.9,NA
96,q2,2024,39.4,NA
96,q3,2022,2,NA
96,q3,2023,1,NA
96,q3,2024,0,NA
97,q1,2022,2,NA
97,q1,2023,3,NA
97,q1,2024,0,NA
97,q2,2022,46.8,NA
97,q2,2023,30.6,NA
97,q2,2024,96.5,NA
97,q3,2022,0,NA
97,q3,2023,2,NA
97,q3,2024,2,NA
98,q1,2022,1,NA
98,q1,2023,0,NA
98,q1,2024,2,NA
98,q2,2022,25.7,NA
98,q2,2023,85.3,NA
98,q2,2024,29.7,NA
98,q3,2022,2,NA
98,q3,2023,-1,NA
98,q3,2024,0,NA
99,q1,2022,0,NA
99,q1,2023,2,NA
99,q1,2024,3,NA
99,q2,2022,18.4,NA
99,q2,2023,90,NA
99,q2,2024,33.9,NA
99,q3,2022,-2,NA
99,q3,2023,2,NA
99,q3,2024,2,NA
100,q1,2022,2,NA
100,q1,2023,2,NA
100,q1,2024,2,NA
100,q2,2022,42,NA
100,q2,2023,63.6,NA
100,q2,2024,7.8,NA
100,q3,2022,-2,NA
100,q3,2023,1,NA
100,q3,2024,1,NA
101,q1,2022,0,NA
101,q1,2023,3,NA
101,q1,2024,2,NA
101,q2,2022,82.8,NA
101,q2,2023,28.8,NA
101,q2,2024,51.1,NA
101,q3,2022,-1,NA
101,q3,2023,2,NA
101,q3,2024,2,NA
102,q1,2022,1,NA
102,q1,2023,0,NA
102,q1,2024,1,NA
102,q2,2022,66.8,NA
102,q2,2023,77.1,NA
102,q2,2024,7,NA
102,q3,2022,2,NA
102,q3,2023,0,NA
102,q3,2024,1,NA
103,q1,2022,3,NA
103,q1,2023,2,NA
103,q1,2024,1,NA
103,q2,2022,29.5,NA
103,q2,2023,68.9,NA
103,q2,2024,30.2,NA
103,q3,2022,-1,NA
103,q3,2023,1,NA
103,q3,2024,-2,NA
104,q1,2022,0,NA
104,q1,2023,0,NA
104,q1,2024,2,NA
104,q2,2022,17.1,NA
104,q2,2023,57.5,NA
104,q2,2024,52.7,NA
104,q3,2022,2,NA
104,q3,2023,1,NA
104,q3,2024,2,NA
105,q1,2022,3,NA
105,q1,2023,2,NA
105,q1,2024,2,NA
105,q2,2022,35.2,NA
105,q2,2023,27.5,NA
105,q2,2024,42.8,NA
105,q3,2022,-2,NA
105,q3,2023,1,NA
105,q3,2024,2,NA
106,q1,2022,2,NA
106,q1,2023,0,NA
106,q1,2024,1,NA
106,q2,2022,24.2,NA
106,q2,2023,58.1,NA
106,q2,2024,59.6,NA
106,q3,2022,-1,NA
106,q3,2023,-2,NA
106,q3,2024,-1,NA
107,q1,2022,3,NA
107,q1,2023,3,NA
107,q1,2024,0,NA
107,q2,2022,69.2,NA
107,q2,2023,25.9,NA
107,q2,2024,62.1,NA
107,q3,2022,-2,NA
107,q3,2023,-1,NA
107,q3,2024,0,NA
108,q1,2022,0,NA
108,q1,2023,2,NA
108,q1,2024,2,NA
108,q2,2022,55.4,NA
108,q2,2023,14.3,NA
108,q2,2024,65.9,NA
108,q3,2022,-1,NA
108,q3,2023,-1,NA
108,q3,2024,2,NA
109,q1,2022,2,NA
109,q1,2023,1,NA
109,q1,2024,3,NA
109,q2,2022,17.1,NA
109,q2,2023,86.6,NA
109,q2,2024,61.9,NA
109,q3,2022,2,NA
109,q3,2023,2,NA
109,q3,2024,0,NA
110,q1,2022,2,NA
110,q1,2023,1,NA
110,q1,2024,1,NA
110,q2,2022,60.7,NA
110,q2,2023,92.7,NA
110,q2,2024,24.5,NA
110,q3,2022,0,NA
110,q3,2023,-2,NA
110,q3,2024,0,NA
111,q1,2022,1,NA
111,q1,2023,0,NA
111,q1,2024,3,NA
111,q2,2022,56.1,NA
111,q2,2023,17.3,NA
111,q2,2024,3.7,NA
111,q3,2022,0,NA
111,q3,2023,-2,NA
111,q3,2024,0,NA
112,q1,2022,1,NA
112,q1,2023,2,NA
112,q1,2024,1,NA
112,q2,2022,62.6,NA
112,q2,2023,17.8,NA
112,q2,2024,8.9,NA
112,q3,2022,0,NA
112,q3,2023,-1,NA
112,q3,2024,2,NA
113,q1,2022,2,NA
113,q1,2023,1,NA
113,q1,2024,0,NA
113,q2,2022,76,NA
113,q2,2023,79.9,NA
113,q2,2024,54.8,NA
113,q3,2022,1,NA
